Date, Time, Thermocouples, , , , , , , , , , , Variacs, , , , , , pressure
,,"6"" cross", 6 way cross, GV, LVIS Gate, Kimball chamber," 13.25"" top"," 13.25"" bottom", T-sub, Turbo body, RGA," 6""T"," 13.25"" top"," 13.25"" bottom", Kimball chamber  6 way cross & GV, RGA," T-sub 7 6"" T"," 6"" cross",
5-Dec, 12:20, , , , , , , , , , , , , , , , , , 2.8x10^-7
5-Dec, 13:30, , , , , , , , , , , , , , , , , , 2.2x10^-7
5-Dec, 15:00,21.8,22,23,22,20.5,21.5,21.8,23.5,20.3,23.6,22.8,30,30,0.5,20,5%,5%, 2.2x10^-7
5-Dec, 15:30,27,32.7,23,32,27,23.5,23,32,22,27.8,28.7,40,40, , , , , 6.3x10^-7
5-Dec, 16:00,31.3,39.9,22.5,37.2,31.2,24.3,23,36,22.3,28.6,32.8,50,50, , , , , 6.8x10^-7
5-Dec, 16:20,34.4,44.3,24.2,39.6,36,26,24,39,23.5,29.3,36,65,65,1,40,10%,10%, 7.1x10^-7
5-Dec, 16:45,40,52.6,33,46,42,29.5,25.2,50.3,24.8,38,41.9,90,90, , , , , 9.5x10^-7
5-Dec, 17:10,45,59,34,50,48.5,36,32,47,25.5,40,45, , , , , , , 1.0x10^-6
5-Dec, 17:25,47,63,35,53,53,40,33,52,26,42,47, , , , , , , 1.0x10^-6
6-Dec, 8:30,70,87,45.5,81,108,95,67,70,27,67,64,95,100,1.5,60,15%,15%, 2.0x10^-7
6-Dec, 9:20,75.5,92.7,48,87,111.5,96.5,67,81,28.5,53,68, , , , , , , 2.8x10^-7
6-Dec, 9:45,79,96,80,88,114,98,67,81,30,59,72, ,120, ,80, , , 3.1x10^-7
6-Dec, 10:30,82,98.7,82,91,117,98,70.6,86,30,66,75, ,140, ,100,20%, , 3.9x10^-7
6-Dec, 11:00,84,100,84,92.2,118,98.5,74,76.5,31,85.5,80, ,160, , ,25%,20%, 5.8x10^-7
6-Dec, 11:30,90,101,85,93,120,100,80,81,33,86,87, , , ,120,30%, , 6.6x10^-7
6-Dec, 12:00,95,101,83,93.3,121.5,101.5,85,82,34.5,107,95, , , , , , , 9.0x10^-7
6-Dec, 12:45,101,102,83.5,94,123,103.5,92,82,36.7,112,104, , , , , , , 7.2x10^-7
6-Dec, 13:45,107,103,84,95,125,106,99,104,39,115,111, , , , , , , 5.7x10^-7
6-Dec, 14:40,110.5,103.5,85,96.1,125.5,107,104,117,39,116.5,113, , , , , , , 4.7x10^-7
6-Dec, 15:30,113,101.3,88,97,127,110,107,121,39.5,124,116, , , , , , , 4x10^-7
6-Dec, 16:50,115.5,100,90,98.5,127,112,111,111,39,124,118, , , , , , , 3.4x10^-7
7-Dec, 8:30,120,98.5,91,102,130,119,119,117,40,129,119.5, , ,1.75, , , , 1.4x10^-7
7-Dec, 12:30,120,106.5,96.2,106.3,138,118,117.8,124,39.5,128,120, , , , , , , 1.5x10^-7
7-Dec, 16:45,117.7,107.5,96.7,106.5,141.8,117.2,115.6,117.6,40.5,118.9,117.2, , , , , , , 1.3x10^-7
8-Dec, 10:20,118,107.5,97.2,107,142.4,119.4,117.2,114.4,39.6,119.6,117.4, , , , , , , 1.1x10^-7
9-Dec, 11:00,120,107.9,96.5,107,142.7,119,117.8,118,40,121.6,112.7, , , , , , , 9.5x10^-8
10-Dec, 9:00,118.8,107.8,97,107,142,119.5,118.5,118,40,121.9,118, , , , , , , 8.8x10^-8
10-Dec, 10:30, Turn the variacs off, , , , , , , , , , , , , , , , , 
10-Dec, 11:30,84,67,58,71,119,100,100,59,32,44,79, , , , , , , 3.3x10^-8
10-Dec, 13:30,54.9,42,44,53,88,73,71,37,25,30,48, , , , , , , 1.1x10^-8
